djia_label,djia_delta,sp_label,sp_delta
1,34.41992,1,0.6899414
1,68.140625,1,10.630005
1,10.589844,0,-2.0499268
1,232.66016,1,22.720093
1,40.65039,1,3.9399414
0,-180.84961,0,-16.019897
0,-90.26074,0,-13.329956
1,113.54004,1,11.47998
0,-109.069336,0,-11.920044
1,29.920898,1,8.01001
1,26.589844,1,10.230103
0,-88.67969,0,-6.1400146
1,101.71973,1,14.529907
1,4.439453,1,3.0699463
0,-55.29004,0,-7.550049
0,-133.44043,0,-13.179932
0,-74.55859,0,-11.560059
0,-40.19922,0,-4.290039
0,-0.19140625,1,2.6600342
1,163.3086,1,25.160034
1,168.28027,1,18.880005
0,-10.979492,0,-6.4799805
0,-180.80957,0,-19.54004
1,267.0205,1,39.200073
1,142.12012,1,14.960083
0,-144.9502,0,-12.429932
0,-89.069336,0,-11.530029
0,-158.61914,0,-16.300049
1,15.6015625,0,-3.119995
0,-40.33008,0,-6.0999756
0,-64.98828,0,-6.9801025
1,12.080078,1,3.9299316
1,1.7402344,1,3.3599854
1,141.7998,1,14.319946
0,-85.54004,0,-4.4300537
0,-84.18945,0,-7.5499268
0,-45.98047,0,-6.8499756
1,21.390625,1,0.70996094
1,49.44922,1,4.160034
0,-20.800781,0,-5.210083
1,128.83008,1,15.969971
0,-116.87891,0,-9.679932
0,-32.810547,1,1.7600098
0,-32.109375,0,-3.209961
0,-110.65039,0,-16.619995
0,-19.519531,0,-0.6999512
1,102.109375,1,8.599976
1,166.70898,1,17.310059
0,-43.990234,0,-6.670044
0,-21.509766,0,-8.419922
1,136.91113,1,12.050049
0,-156.89062,0,-14.690063
0,-10.339844,0,-4.300049
0,-61.779297,0,-7.210083
0,-68.08008,0,-9.900024
1,41.80078,1,1.9899902
0,-61.0,0,-9.430054
0,-19.839844,0,-3.2399902
0,-26.78125,0,-1.0999756
1,14.359375,0,-1.170044
0,-17.529297,0,-4.8199463
0,-96.96875,0,-11.939941
0,-84.63867,0,-7.029907
0,-17.019531,0,-2.3000488
0,-5.5195312,0,-0.45007324
1,99.2793,1,5.4799805
1,106.291016,1,13.23999
0,-41.09961,0,-5.3599854
0,-15.449219,0,-2.9400635
0,-29.279297,0,-4.839966
0,-100.5,0,-14.25
0,-11.560547,0,-1.9799805
0,-26.460938,0,-2.420044
1,9.240234,1,0.3100586
1,116.48828,1,11.98999
0,-49.83008,0,-10.26001
1,20.679688,1,2.670044
0,-4.939453,0,-4.3999023
1,25.890625,1,0.5600586
0,-127.541016,0,-11.029907
0,-26.529297,0,-1.5599365
0,-89.259766,0,-9.559937
1,39.61914,1,6.5699463
1,115.4707,1,12.680054
0,-68.7793,0,-7.7299805
1,65.2793,1,1.9899902
0,-25.5,0,-1.8099365
0,-104.490234,0,-7.23999
0,-5.6503906,1,4.079956
0,-76.28906,0,-5.2199707
1,156.63867,1,21.630005
0,-122.01953,0,-16.679932
1,43.378906,1,3.3000488
0,-58.56836,0,-7.880005
1,30.378906,0,-1.6900635
1,8.21875,1,0.08996582
1,118.92969,1,6.26001
0,-25.679688,0,-0.6600342
1,72.2207,1,10.080078
1,39.75,1,3.1400146
1,306.33008,1,34.46997
1,68.33008,1,4.6500244
0,-75.55859,0,-12.369995
1,130.5,1,16.130005
0,-18.240234,0,-2.9499512
1,80.01953,1,13.460083
0,-184.25,0,-21.23999
0,-12.7109375,0,-3.4899902
1,5.0117188,1,1.9799805
0,-84.26172,0,-11.119995
0,-56.259766,0,-7.7700195
1,54.09961,1,3.8099365
0,-174.29102,0,-13.380005
0,-80.5293,0,-8.869995
0,-69.10156,0,-6.050049
0,-55.609375,0,-5.550049
1,37.04883,1,4.199951
0,-65.05859,0,-6.1800537
0,-27.128906,0,-1.4300537
0,-10.980469,1,0.42004395
1,39.490234,1,0.6800537
